18A Test,Pink Floyd,Pink Floyd,BLUE-04284-HA-A,BLUE-04284-HA-A,BLACK-E130716RC,BLACK-E130716RC
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
157533,12.258,18.027,12.787,0.003,12.964,-0.01
158038,12.258,18.027,12.787,0.003,12.964,-0.01
158538,12.258,18.027,12.787,0.003,12.964,0.006
159035,12.258,18.027,12.787,0.003,12.964,-0.01
159518,12.258,18.027,12.787,0.003,12.964,-0.01
160048,12.258,18.027,12.787,0.003,12.964,-0.01
160577,12.258,18.027,12.787,0.003,12.964,-0.01
161062,12.258,18.027,12.787,0.003,12.964,-0.01
161590,12.258,18.027,12.787,0.003,12.964,-0.01
162095,12.258,18.027,12.787,0.003,12.964,0.006
162605,12.258,18.027,12.787,0.003,12.964,-0.01
163083,12.258,18.027,12.787,0.003,12.964,-0.01
163593,12.258,18.027,12.787,0.003,12.964,-0.01
164065,12.258,18.027,12.787,0.003,12.964,-0.01
164568,12.258,18.027,12.787,0.003,12.964,-0.01
165047,12.258,18.027,12.787,0.003,12.964,-0.01
165544,12.258,18.027,12.787,0.003,12.964,0.006
166017,12.258,18.027,12.787,0.003,12.964,-0.01
166537,12.258,18.027,12.787,0.003,12.964,-0.01
167031,12.258,18.027,12.787,0.003,12.964,-0.01
167537,12.258,18.027,12.787,0.003,12.964,-0.01
168010,12.258,18.027,12.787,0.003,12.964,-0.01
168509,12.258,18.027,12.787,0.003,12.964,-0.01
168994,12.258,18.027,12.787,0.003,12.964,-0.01
169479,12.258,18.027,12.787,0.003,12.964,-0.01
169958,12.258,18.027,12.787,0.003,12.964,-0.01
170462,12.258,18.027,12.787,0.003,12.964,-0.01
170938,12.258,18.027,12.787,0.003,12.964,-0.01
171475,12.258,18.027,12.787,0.003,12.964,-0.01
172014,12.258,18.027,12.787,0.003,12.964,-0.01
172488,12.258,18.027,12.787,0.003,12.964,-0.01
172995,12.258,18.027,12.787,0.003,12.964,-0.01
173475,12.258,18.027,12.787,0.003,12.964,-0.01
173972,12.258,18.027,12.787,0.003,12.964,-0.01
174453,12.258,18.027,12.787,0.003,12.964,-0.01
174950,12.242,18.027,12.787,0.003,12.964,-0.01
175437,12.242,18.027,12.787,0.003,12.964,-0.01
175935,12.242,18.027,12.787,0.003,12.964,-0.01
176410,12.258,18.027,12.787,0.003,12.964,-0.01
176923,12.242,18.027,12.787,0.003,12.964,-0.01
177387,12.242,18.027,12.787,0.003,12.964,-0.01
177874,12.242,18.027,12.787,0.003,12.964,-0.01
178357,12.242,18.027,12.787,0.003,12.964,-0.01
178853,12.242,18.027,12.787,0.003,12.964,-0.01
179344,12.242,18.027,12.787,0.003,12.964,-0.01
179841,12.242,18.027,12.787,0.003,12.964,-0.01
180320,12.242,18.027,12.787,0.003,12.964,-0.01
180826,12.242,18.027,12.787,0.003,12.964,0.006
181300,12.242,18.027,12.787,0.003,12.964,0.006
181833,12.242,18.027,12.787,0.003,12.964,-0.01
182320,12.242,18.027,12.787,0.003,12.964,0.006
182819,12.242,18.027,12.787,0.003,12.964,-0.01
183323,12.242,18.027,12.787,0.003,12.964,-0.01
183803,12.242,18.027,12.787,0.003,12.964,-0.01
184307,12.242,18.027,12.787,0.003,12.964,-0.01
184790,12.242,18.027,12.787,0.003,12.964,-0.01
185298,12.242,18.027,12.787,0.003,12.964,-0.01
185775,12.242,18.027,12.787,0.003,12.964,-0.01
186279,12.242,18.027,12.803,0.003,12.964,-0.01
186757,12.242,18.027,12.803,0.003,12.964,-0.01
187258,12.242,18.027,12.803,0.003,12.964,-0.01
187741,12.242,18.027,12.803,0.003,12.964,-0.01
188253,12.242,18.027,12.803,0.003,12.964,-0.01
188742,12.242,18.027,12.803,0.003,12.964,-0.01
189284,12.242,18.027,12.803,0.003,12.964,-0.01
189788,12.242,18.027,12.803,0.003,12.964,-0.01
190282,12.242,18.027,12.803,0.003,12.964,-0.01
190759,12.242,18.027,12.803,0.003,12.964,-0.01
191263,12.242,18.027,12.803,0.003,12.964,-0.01
191738,12.242,18.027,12.803,0.003,12.964,0.006
192237,12.242,18.027,12.803,0.003,12.964,-0.01
192716,12.242,18.027,12.803,0.003,12.964,-0.01
193290,12.242,18.027,12.803,0.003,12.964,-0.01
193796,12.242,18.027,12.803,0.003,12.964,-0.01
194269,12.242,18.027,12.803,0.003,12.964,-0.01
194773,12.242,18.027,12.803,0.003,12.964,-0.01
195248,12.242,18.027,12.803,0.003,12.964,-0.01
195747,12.242,18.027,12.803,0.003,12.964,-0.01
196237,12.242,18.027,12.803,0.003,12.964,-0.01
196736,12.242,18.027,12.803,0.003,12.964,0.006
197229,12.242,18.027,12.803,0.003,12.964,-0.01
197732,12.242,18.027,12.803,0.003,12.964,-0.01
198193,12.242,18.027,12.803,0.003,12.964,-0.01
198684,12.242,18.027,12.803,0.003,12.964,-0.01
199165,12.242,18.027,12.803,0.003,12.964,-0.01
199650,12.242,18.027,12.803,0.003,12.964,-0.01
200128,12.242,18.027,12.803,0.003,12.964,-0.01
200639,12.242,18.027,12.803,0.003,12.964,-0.01
201129,12.242,18.027,12.803,0.003,12.964,-0.01
201637,12.242,18.027,12.803,0.003,12.964,-0.01
202112,12.242,18.027,12.803,0.003,12.964,-0.01
202617,12.242,18.027,12.803,0.003,12.964,-0.01
203086,12.242,18.027,12.803,0.003,12.964,-0.01
203610,12.242,18.027,12.803,0.003,12.964,-0.01
204111,12.242,18.027,12.803,0.003,12.964,-0.01
204600,12.242,18.027,12.803,0.003,12.964,-0.01
205096,12.242,18.027,12.803,0.003,12.964,-0.01
205563,12.242,18.027,12.803,0.003,12.964,-0.01
206056,12.242,18.027,12.803,0.003,12.964,-0.01
206528,12.242,18.027,12.803,0.003,12.964,-0.01
207023,12.242,18.027,12.803,0.003,12.964,-0.01
207507,12.242,18.027,12.803,0.003,12.964,-0.01
208004,12.242,18.027,12.803,0.003,12.964,-0.01
208476,12.242,18.027,12.803,0.003,12.964,-0.01
208992,12.242,18.027,12.803,0.003,12.981,-0.01
209488,12.242,18.027,12.803,0.003,12.964,-0.01
209988,12.242,18.027,12.803,0.003,12.981,-0.01
210491,12.242,18.027,12.803,0.003,12.981,-0.01
211033,12.242,18.027,12.803,0.003,12.981,-0.01
211535,12.242,18.027,12.803,0.003,12.981,0.006
212006,12.242,18.027,12.803,0.003,12.981,-0.01
212570,12.242,18.027,12.803,0.003,12.981,-0.01
213057,12.242,18.027,12.803,0.003,12.981,-0.01
213560,12.242,18.027,12.803,0.003,12.981,-0.01
214042,12.242,18.027,12.803,0.003,12.981,-0.01
214537,12.242,18.027,12.803,0.003,12.981,-0.01
215043,12.242,18.027,12.803,0.003,12.981,-0.01
215569,12.242,18.027,12.803,0.003,12.981,-0.01
216075,12.242,18.027,12.803,0.003,12.981,-0.01
216558,12.242,18.027,12.803,0.003,12.981,-0.01
217073,12.242,18.027,12.803,0.003,12.981,-0.01
217553,12.242,18.027,12.803,0.003,12.981,-0.01
218042,12.242,18.027,12.803,0.003,12.981,-0.01
218519,12.242,18.027,12.803,0.003,12.981,-0.01
219008,12.242,18.027,12.803,0.003,12.981,-0.01
219483,12.242,18.027,12.803,0.003,12.981,-0.01
219985,12.242,18.027,12.803,0.003,12.981,-0.01
220459,12.242,18.027,12.803,0.003,12.981,-0.01
220970,12.242,18.027,12.803,0.003,12.981,-0.01
221444,12.242,18.027,12.803,0.003,12.981,-0.01
221950,12.242,18.027,12.803,0.003,12.981,-0.01
222435,12.242,18.027,12.803,0.003,12.981,-0.01
222933,12.242,18.027,12.803,0.003,12.981,-0.01
223451,12.242,18.027,12.803,0.003,12.981,0.006
223980,12.242,18.027,12.803,0.003,12.981,-0.01
224451,12.242,18.027,12.803,0.003,12.981,-0.01
224959,12.242,18.027,12.803,0.003,12.981,-0.01
225430,12.242,18.027,12.803,0.003,12.981,0.006
225936,12.242,18.027,12.803,0.003,12.981,-0.01
226407,12.242,18.027,12.803,0.003,12.981,-0.01
226895,12.242,18.027,12.803,0.003,12.981,0.006
227352,12.242,18.027,12.803,0.003,12.981,-0.01
227848,12.242,18.027,12.803,0.003,12.981,0.006
228326,12.242,18.027,12.803,0.003,12.981,-0.01
228840,12.242,18.027,12.803,0.003,12.981,-0.01
229319,12.242,18.027,12.803,0.003,12.981,-0.01
229823,12.242,18.027,12.803,0.003,12.981,0.006
230307,12.242,18.027,12.803,0.003,12.981,-0.01
230817,12.242,18.027,12.803,0.003,12.981,-0.01
231279,12.242,18.027,12.803,0.003,12.981,-0.01
231780,12.242,18.027,12.803,0.003,12.981,-0.01
232240,12.242,18.027,12.803,0.003,12.981,-0.01
232747,12.242,18.027,12.82,0.003,12.981,-0.01
233235,12.242,18.027,12.82,0.003,12.981,-0.01
233750,12.242,18.027,12.82,0.003,12.981,-0.01
234232,12.242,18.027,12.82,0.003,12.981,-0.01
234738,12.242,18.027,12.82,0.003,12.981,-0.01
235252,12.242,18.027,12.82,0.003,12.981,-0.01
235732,12.242,18.027,12.82,0.003,12.981,-0.01
236235,12.242,18.027,12.82,0.003,12.981,-0.01
236715,12.242,18.027,12.82,0.003,12.981,-0.01
237222,12.242,18.027,12.82,0.003,12.981,-0.01
237702,12.242,18.027,12.82,0.003,12.981,-0.01
238199,12.242,18.027,12.82,0.003,12.981,-0.01
238680,12.242,18.027,12.82,0.003,12.981,-0.01
239188,12.242,18.027,12.82,0.003,12.981,-0.01
239660,12.242,18.027,12.82,0.003,12.981,-0.01
240150,12.242,18.027,12.82,0.003,12.981,-0.01
240614,12.242,18.027,12.82,0.003,12.981,-0.01
241105,12.242,18.027,12.82,0.003,12.981,-0.01
241563,12.242,18.027,12.82,0.003,12.981,-0.01
242088,12.242,18.027,12.82,0.003,12.981,-0.01
242597,12.242,18.027,12.82,0.003,12.981,-0.01
243099,12.242,18.027,12.82,0.003,12.981,-0.01
