18A Test,P Diddy,P Diddy,E160520BC,E160520BC,170710F,170710F
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
112784,12.092,18.027,11.942,18.027,12.069,18.011
113308,12.092,18.027,11.942,18.027,12.069,18.011
113818,12.092,18.027,11.942,18.027,12.069,18.011
114356,12.092,18.027,11.942,18.027,12.069,18.011
114853,12.092,18.027,11.942,18.027,12.069,18.011
115400,12.092,18.027,11.942,18.027,12.069,18.011
115896,12.092,18.027,11.942,18.027,12.069,18.011
116422,12.092,18.027,11.942,18.027,12.069,18.011
116923,12.092,18.027,11.942,18.027,12.069,18.011
117450,12.092,18.027,11.942,18.027,12.069,18.011
117946,12.092,18.027,11.942,18.027,12.069,18.011
118463,12.092,18.027,11.942,18.027,12.069,18.011
118970,12.092,18.027,11.942,18.027,12.069,18.011
119512,12.092,18.027,11.942,18.027,12.069,18.011
120052,12.092,18.027,11.942,18.027,12.069,18.011
120549,12.092,18.027,11.942,18.027,12.069,18.011
121075,12.092,18.027,11.942,18.027,12.069,18.011
121583,12.092,18.027,11.942,18.027,12.069,18.011
122149,12.092,18.027,11.942,18.027,12.069,18.011
122670,12.092,18.027,11.942,18.027,12.069,18.011
123166,12.092,18.027,11.942,18.027,12.069,18.011
123703,12.092,18.027,11.942,18.027,12.069,18.011
124200,12.092,18.027,11.942,18.027,12.069,18.011
124725,12.092,18.027,11.942,18.027,12.069,18.011
125228,12.092,18.027,11.942,18.027,12.069,18.011
125752,12.092,18.027,11.942,18.027,12.069,18.011
126246,12.092,18.027,11.942,18.027,12.069,18.011
126767,12.092,18.027,11.942,18.027,12.069,18.011
127284,12.092,18.027,11.942,18.027,12.069,18.011
127815,12.092,18.027,11.942,18.027,12.069,18.011
128343,12.092,18.027,11.942,18.027,12.069,18.011
128841,12.092,18.027,11.942,18.027,12.069,18.011
129388,12.092,18.027,11.942,18.027,12.069,18.011
129882,12.109,18.027,11.942,18.027,12.069,18.011
130440,12.125,18.027,11.942,18.027,12.069,18.011
130967,12.125,18.027,11.942,18.027,12.069,18.011
131477,12.125,18.027,11.942,18.027,12.069,18.011
131991,12.125,18.027,11.942,18.027,12.069,18.011
132485,12.125,18.027,11.942,18.027,12.069,18.011
133014,12.125,18.027,11.942,18.027,12.069,18.011
133506,12.125,18.027,11.942,18.027,12.069,18.011
134030,12.125,18.027,11.942,18.027,12.069,18.011
134527,12.125,18.027,11.942,18.027,12.069,18.011
135053,12.125,18.027,11.942,18.027,12.069,18.011
135573,12.125,18.027,11.942,18.027,12.069,18.011
136091,12.125,18.027,11.942,18.027,12.069,18.011
136596,12.125,18.027,11.942,18.027,12.069,18.011
137117,12.125,18.027,11.942,18.027,12.069,18.011
137619,12.125,18.027,11.942,18.027,12.069,18.011
138144,12.125,18.027,11.942,18.027,12.069,18.011
138635,12.125,18.027,11.942,18.027,12.069,18.011
139150,12.125,18.027,11.942,18.027,12.069,18.011
139642,12.125,18.027,11.942,18.027,12.069,18.011
140193,12.125,18.027,11.942,18.027,12.069,18.011
140716,12.125,18.027,11.942,18.027,12.069,18.011
141212,12.125,18.027,11.942,18.027,12.069,18.011
141729,12.125,18.027,11.942,18.027,12.069,18.011
142236,12.125,18.027,11.942,18.027,12.069,18.011
142758,12.125,18.027,11.942,18.027,12.069,18.011
143268,12.125,18.027,11.942,18.027,12.069,18.011
143787,12.125,18.027,11.942,18.027,12.069,18.011
144296,12.125,18.027,11.942,18.027,12.069,18.011
144819,12.125,18.027,11.942,18.027,12.069,18.011
145320,12.125,18.027,11.942,18.027,12.069,18.011
145851,12.125,18.027,11.942,18.027,12.069,18.011
146353,12.125,18.027,11.942,18.027,12.069,18.011
146887,12.125,18.027,11.942,18.027,12.069,18.011
147394,12.125,18.027,11.942,18.027,12.069,18.011
147915,12.125,18.027,11.942,18.027,12.069,18.011
148440,12.125,18.027,11.942,18.027,12.069,18.011
148932,12.125,18.027,11.942,18.027,12.069,18.011
149462,12.125,18.027,11.942,18.027,12.069,18.011
149962,12.125,18.027,11.942,18.027,12.069,18.011
150520,12.125,18.027,11.942,18.027,12.069,18.011
151054,12.125,18.027,11.942,18.027,12.069,18.011
151556,12.125,18.027,11.942,18.027,12.069,18.011
152068,12.125,18.027,11.942,18.027,12.069,18.011
152559,12.125,18.027,11.942,18.027,12.069,18.011
153083,12.125,18.027,11.942,18.027,12.069,18.011
153577,12.125,18.027,11.942,18.027,12.069,18.011
154095,12.125,18.027,11.942,18.027,12.069,18.011
