18A Test,,,,,,
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
159567,12.092,18.027,12.986,0.003,12.981,0.006
160066,12.092,18.027,12.986,0.003,12.981,-0.01
160548,12.092,18.027,12.986,0.003,12.981,-0.01
161055,12.092,18.027,12.986,0.003,12.981,-0.01
161525,12.092,18.027,12.986,0.003,12.981,-0.01
162027,12.092,18.027,12.986,0.003,12.981,-0.01
162505,12.092,18.027,12.986,0.003,12.981,-0.01
163016,12.092,18.027,12.986,0.003,12.981,-0.01
163526,12.092,18.027,12.986,0.003,12.981,-0.01
164062,12.076,18.027,12.986,0.003,12.981,-0.01
164533,12.076,18.027,12.986,0.003,12.981,-0.01
165049,12.076,18.027,12.986,0.003,12.981,-0.01
165526,12.076,18.027,12.986,0.003,12.981,-0.01
166019,12.076,18.027,12.986,0.003,12.981,-0.01
166477,12.076,18.027,12.986,0.003,12.981,-0.01
166991,12.076,18.027,12.986,0.003,12.981,-0.01
167482,12.076,18.027,12.986,0.003,12.981,-0.01
168003,12.076,18.027,12.986,0.003,12.981,-0.01
168505,12.076,18.027,12.986,0.003,12.981,-0.01
168971,12.076,18.027,12.986,0.003,12.981,-0.01
169472,12.076,18.027,12.986,0.003,12.981,-0.01
169947,12.076,18.027,12.986,0.003,12.981,-0.01
170441,12.076,18.027,12.986,0.003,12.981,-0.01
170924,12.076,18.027,12.986,0.003,12.981,-0.01
171428,12.076,18.027,12.986,0.003,12.981,-0.01
171898,12.076,18.027,12.986,0.003,12.998,-0.01
172390,12.076,18.027,12.986,0.003,12.998,-0.01
172864,12.076,18.027,12.986,0.003,12.998,-0.01
173376,12.076,18.027,12.986,0.003,12.998,-0.01
173888,12.076,18.027,12.986,0.003,12.998,-0.01
174399,12.076,18.027,12.986,0.003,12.998,-0.01
174878,12.076,18.027,12.986,0.003,12.998,-0.01
175402,12.076,18.027,12.986,0.003,12.998,-0.01
175925,12.059,18.027,12.986,0.003,12.998,-0.01
176420,12.059,18.027,12.986,0.003,12.998,-0.01
176923,12.059,18.027,12.986,0.003,12.998,-0.01
177401,12.059,18.027,12.986,0.003,12.998,-0.01
177901,12.059,18.027,12.986,0.003,12.998,-0.01
178378,12.059,18.027,13.002,0.003,12.998,-0.01
178884,12.059,18.027,13.002,0.003,12.998,-0.01
179375,12.059,18.027,13.002,0.003,12.998,0.006
179872,12.059,18.027,13.002,0.003,12.998,-0.01
180351,12.059,18.027,13.002,0.003,12.998,-0.01
180854,12.059,18.027,13.002,0.003,12.998,-0.01
181335,12.059,18.027,13.002,0.003,12.998,-0.01
181847,12.059,18.027,13.002,0.003,12.998,-0.01
182322,12.059,18.027,13.002,0.003,12.998,-0.01
182820,12.059,18.027,13.002,0.003,12.998,-0.01
183306,12.059,18.027,13.002,0.003,12.998,-0.01
183810,12.059,18.027,13.002,0.003,12.998,-0.01
184286,12.059,18.027,13.002,0.003,12.998,-0.01
184787,12.059,18.027,13.002,0.003,12.998,-0.01
185261,12.059,18.027,13.002,0.003,12.998,-0.01
185790,12.059,18.027,13.002,0.003,12.998,-0.01
186263,12.059,18.027,13.002,0.003,12.998,-0.01
186773,12.059,18.027,13.002,0.003,12.998,-0.01
187287,12.059,18.027,13.002,0.003,12.998,-0.01
187760,12.059,18.027,13.002,0.003,12.998,-0.01
188271,12.059,18.027,13.002,0.003,12.998,-0.01
188754,12.059,18.027,13.002,0.003,12.998,-0.01
189260,12.059,18.027,13.002,0.003,12.998,-0.01
189743,12.059,18.027,13.002,0.003,12.998,-0.01
190238,12.059,18.027,13.002,0.003,12.998,-0.01
190715,12.059,18.027,13.002,0.003,12.998,0.006
191227,12.059,18.027,13.002,0.003,12.998,-0.01
191707,12.059,18.027,13.002,0.003,12.998,-0.01
192214,12.059,18.027,13.002,0.003,12.998,-0.01
192715,12.059,18.027,13.002,0.003,12.998,0.006
193228,12.042,18.027,13.002,0.003,12.998,-0.01
193703,12.042,18.027,13.002,0.003,12.998,-0.01
194207,12.042,18.027,13.002,0.003,12.998,-0.01
194690,12.042,18.027,13.002,0.003,12.998,-0.01
195199,12.042,18.027,13.002,0.003,12.998,-0.01
195676,12.042,18.027,13.002,0.003,12.998,-0.01
196180,12.042,18.027,13.002,0.003,12.998,-0.01
196668,12.042,18.027,13.002,0.003,12.998,-0.01
197167,12.042,18.027,13.002,0.003,12.998,-0.01
197645,12.042,18.027,13.002,0.003,12.998,-0.01
198130,12.042,18.027,13.002,0.003,12.998,-0.01
198620,12.042,18.027,13.002,0.003,12.998,-0.01
199135,12.042,18.027,13.002,0.003,12.998,0.006
199620,12.042,18.027,13.002,0.003,12.998,-0.01
200121,12.042,18.027,13.002,0.003,12.998,0.006
200603,12.042,18.027,13.002,0.003,12.998,-0.01
201110,12.042,18.027,13.002,0.003,12.998,-0.01
201586,12.042,18.027,13.002,0.003,12.998,-0.01
202090,12.042,18.027,13.002,0.003,12.998,-0.01
202569,12.042,18.027,13.002,0.003,12.998,-0.01
203113,12.042,18.027,13.002,0.003,12.998,-0.01
203613,12.042,18.027,13.002,0.003,12.998,-0.01
204086,12.042,18.027,13.002,0.003,12.998,-0.01
204597,12.042,18.027,13.002,0.003,12.998,-0.01
205071,12.042,18.027,13.002,0.003,12.998,-0.01
205575,12.042,18.027,13.002,0.003,12.998,-0.01
206049,12.042,18.027,13.002,0.003,13.014,-0.01
206573,12.042,18.027,13.002,0.003,12.998,-0.01
207065,12.042,18.027,13.002,0.003,13.014,-0.01
207569,12.042,18.027,13.002,0.003,13.014,-0.01
208046,12.042,18.027,13.002,0.003,13.014,0.006
208560,12.042,18.027,13.002,0.003,13.014,-0.01
209039,12.042,18.027,13.002,0.003,13.014,-0.01
209550,12.042,18.027,13.002,0.003,13.014,-0.01
210026,12.042,18.027,13.002,0.003,13.014,-0.01
210538,12.042,18.027,13.002,0.003,13.014,-0.01
211023,12.042,18.027,13.002,0.003,13.014,-0.01
211534,12.042,18.027,13.002,0.003,13.014,-0.01
212002,12.042,18.027,13.002,0.003,13.014,-0.01
212498,12.042,18.027,13.002,0.003,13.014,0.006
213006,12.042,18.027,13.002,0.003,13.014,-0.01
213504,12.042,18.027,13.002,0.003,13.014,-0.01
213971,12.042,18.027,13.002,0.003,13.014,-0.01
214489,12.042,18.027,13.002,0.003,13.014,-0.01
214978,12.042,18.027,13.002,0.003,13.014,-0.01
215488,12.042,18.027,13.002,0.003,13.014,-0.01
215966,12.042,18.027,13.002,0.003,13.014,-0.01
216470,12.042,18.027,13.002,0.003,13.014,-0.01
216947,12.042,18.027,13.002,0.003,13.014,0.006
217468,12.042,18.027,13.002,0.003,13.014,-0.01
217943,12.042,18.027,13.002,0.003,13.014,-0.01
218439,12.042,18.027,13.002,0.003,13.014,-0.01
218923,12.042,18.027,13.002,0.003,13.014,-0.01
219431,12.042,18.027,13.002,0.003,13.014,0.006
219912,12.042,18.027,13.019,0.003,13.014,-0.01
220412,12.042,18.027,13.019,0.003,13.014,-0.01
220886,12.042,18.027,13.019,0.003,13.014,-0.01
221397,12.042,18.027,13.019,0.003,13.014,-0.01
221875,12.042,18.027,13.019,0.003,13.014,-0.01
222386,12.042,18.027,13.019,0.003,13.014,-0.01
222891,12.042,18.027,13.019,0.003,13.014,-0.01
223473,12.026,18.027,13.019,0.003,13.014,-0.01
223978,12.042,18.027,13.019,0.003,13.014,-0.01
224453,12.026,18.027,13.019,0.003,13.014,-0.01
224944,12.026,18.027,13.019,0.003,13.014,0.006
225412,12.026,18.027,13.019,0.003,13.014,0.006
225916,12.026,18.027,13.019,0.003,13.014,-0.01
226398,12.026,18.027,13.019,0.003,13.014,-0.01
226904,12.026,18.027,13.019,0.003,13.014,-0.01
227377,12.026,18.027,13.019,0.003,13.014,-0.01
227867,12.026,18.027,13.019,0.003,13.014,-0.01
228346,12.026,18.027,13.019,0.003,13.014,-0.01
228872,12.026,18.027,13.019,0.003,13.014,-0.01
229362,12.026,18.027,13.019,0.003,13.014,-0.01
229874,12.026,18.027,13.019,0.003,13.014,-0.01
230351,12.026,18.027,13.019,0.003,13.014,-0.01
230847,12.026,18.027,13.019,0.003,13.014,-0.01
231341,12.026,18.027,13.019,0.003,13.014,-0.01
231856,12.026,18.027,13.019,0.003,13.014,-0.01
232333,12.026,18.027,13.019,0.003,13.014,-0.01
232838,12.026,18.027,13.019,0.003,13.014,-0.01
233326,12.026,18.027,13.019,0.003,13.014,-0.01
233861,12.026,18.027,13.019,0.003,13.014,-0.01
234335,12.026,18.027,13.019,0.003,13.014,-0.01
234837,12.026,18.027,13.019,0.003,13.014,-0.01
235362,12.026,18.027,13.019,0.003,13.014,-0.01
235845,12.026,18.027,13.019,0.003,13.014,-0.01
236355,12.026,18.027,13.019,0.003,13.014,-0.01
236832,12.026,18.027,13.019,0.003,13.014,-0.01
237332,12.026,18.027,13.019,0.003,13.014,-0.01
237808,12.026,18.027,13.019,0.003,13.014,-0.01
238307,12.026,18.027,13.019,0.003,13.014,-0.01
238789,12.026,18.027,13.019,0.003,13.014,-0.01
239312,12.026,18.027,13.019,0.003,13.014,-0.01
239790,12.026,18.027,13.019,0.003,13.014,-0.01
240286,12.026,18.027,13.019,0.003,13.014,-0.01
240768,12.026,18.027,13.019,0.003,13.014,-0.01
241273,12.026,18.027,13.019,0.003,13.014,-0.01
241747,12.026,18.027,13.019,0.003,13.014,-0.01
242252,12.026,18.027,13.019,0.003,13.014,-0.01
242732,12.026,18.027,13.019,0.003,13.014,-0.01
243252,12.026,18.027,13.019,0.003,13.014,-0.01
243749,12.026,18.027,13.019,0.003,13.014,-0.01
244259,12.026,18.027,13.019,0.003,13.014,-0.01
244758,12.026,18.027,13.019,0.003,13.014,-0.01
