18A Test,Kowalski,Kowalski,Fresh Prince,Fresh Prince,Snoop Dogg,Snoop Dogg
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
150510,12.175,18.027,11.909,18.027,12.052,18.011
151008,12.175,18.027,11.909,18.027,12.052,18.011
151534,12.175,18.027,11.909,18.027,12.052,18.011
152030,12.175,18.027,11.909,18.027,12.052,18.011
152550,12.175,18.027,11.909,18.027,12.052,18.011
153063,12.175,18.027,11.909,18.027,12.052,18.011
153575,12.175,18.027,11.909,18.027,12.052,18.011
154095,12.175,18.027,11.925,18.027,12.052,18.011
154587,12.175,18.027,11.909,18.027,12.052,18.011
155107,12.175,18.027,11.925,18.027,12.052,18.011
155604,12.175,18.027,11.909,18.027,12.052,18.011
156124,12.175,18.027,11.909,18.027,12.052,18.011
156609,12.175,18.027,11.909,18.027,12.052,18.011
157144,12.175,18.027,11.925,18.027,12.052,18.011
157632,12.175,18.027,11.909,18.027,12.052,18.011
158138,12.175,18.027,11.925,18.027,12.052,18.011
158629,12.175,18.027,11.909,18.027,12.052,18.011
159153,12.175,18.027,11.925,18.027,12.052,18.011
159682,12.175,18.027,11.925,18.027,12.052,18.011
160208,12.175,18.027,11.925,18.027,12.052,18.011
160734,12.175,18.027,11.925,18.027,12.052,18.011
161232,12.175,18.027,11.925,18.027,12.052,18.011
161763,12.175,18.027,11.925,18.027,12.052,18.011
162267,12.175,18.027,11.925,18.027,12.052,18.011
162807,12.175,18.027,11.925,18.027,12.052,18.011
163308,12.175,18.027,11.925,18.027,12.052,18.011
163828,12.175,18.027,11.925,18.027,12.052,18.011
164317,12.175,18.027,11.925,18.027,12.052,18.011
164843,12.175,18.027,11.925,18.027,12.052,18.011
165352,12.175,18.027,11.925,18.027,12.052,18.011
165865,12.175,18.027,11.925,18.027,12.052,18.011
166364,12.175,18.027,11.925,18.027,12.052,18.011
166888,12.175,18.027,11.925,18.027,12.052,18.011
167395,12.175,18.027,11.925,18.027,12.052,18.011
167905,12.175,18.027,11.925,18.027,12.052,18.011
168398,12.175,18.027,11.925,18.027,12.052,18.011
168918,12.175,18.027,11.925,18.027,12.052,18.011
169415,12.175,18.027,11.925,18.027,12.052,18.011
169975,12.175,18.027,11.925,18.027,12.052,18.011
170498,12.175,18.027,11.925,18.027,12.052,18.011
170996,12.175,18.027,11.925,18.027,12.052,18.011
171516,12.175,18.027,11.925,18.027,12.052,18.011
172020,12.175,18.027,11.925,18.027,12.052,18.011
172539,12.175,18.027,11.925,18.027,12.052,18.011
173049,12.175,18.027,11.925,18.027,12.052,18.011
173561,12.175,18.027,11.925,18.027,12.052,18.011
174085,12.175,18.027,11.925,18.027,12.052,18.011
174586,12.175,18.027,11.925,18.027,12.052,18.011
175107,12.175,18.027,11.925,18.027,12.052,18.011
175607,12.175,18.027,11.925,18.027,12.052,18.011
