18A Test,Moto Moto,Moto Moto,Run DMC,Run DMC,Fetty Wap,Fetty Wap
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
204083,12.258,18.027,12.986,0.003,12.185,18.028
204580,12.258,18.027,12.986,0.003,12.185,18.028
205087,12.258,18.027,12.986,0.003,12.185,18.028
205603,12.258,18.027,12.986,0.003,12.185,18.028
206080,12.258,18.027,12.986,0.003,12.185,18.028
206582,12.258,18.027,12.986,0.003,12.185,18.028
207072,12.258,18.027,12.986,0.003,12.185,18.028
207583,12.258,18.027,12.986,0.003,12.185,18.028
208071,12.258,18.027,12.986,0.003,12.185,18.028
208586,12.258,18.027,13.002,0.003,12.185,18.028
209082,12.258,18.027,13.002,0.003,12.185,18.028
209606,12.258,18.027,13.002,0.003,12.185,18.028
210083,12.258,18.027,13.002,0.003,12.185,18.028
210586,12.258,18.027,13.002,0.003,12.185,18.028
211070,12.258,18.027,13.002,0.003,12.185,18.028
211566,12.258,18.027,13.002,0.003,12.185,18.028
212060,12.258,18.027,13.002,0.003,12.185,18.028
212579,12.258,18.027,13.002,0.003,12.185,18.028
213070,12.258,18.027,13.002,0.003,12.185,18.028
213618,12.258,18.027,13.002,0.003,12.185,18.028
214120,12.258,18.027,13.002,0.003,12.185,18.028
214630,12.258,18.027,13.002,0.003,12.185,18.028
215125,12.258,18.027,13.002,0.003,12.185,18.028
215631,12.258,18.027,13.002,0.003,12.185,18.028
216129,12.258,18.027,13.002,0.003,12.185,18.028
216660,12.258,18.027,13.002,0.003,12.185,18.028
217150,12.258,18.027,13.002,0.003,12.185,18.028
217654,12.258,18.027,13.002,0.003,12.185,18.028
218133,12.258,18.027,13.002,0.003,12.185,18.028
218645,12.258,18.027,13.002,0.003,12.185,18.028
219140,12.258,18.027,13.002,0.003,12.185,18.028
219646,12.258,18.027,13.002,0.003,12.185,18.028
220135,12.258,18.027,13.002,0.003,12.185,18.028
220659,12.258,18.027,13.002,0.003,12.185,18.028
221138,12.258,18.027,13.002,0.003,12.185,18.028
221651,12.258,18.027,13.002,0.003,12.185,18.028
222138,12.258,18.027,13.002,0.003,12.168,18.028
222630,12.258,18.027,13.002,0.003,12.168,18.028
223135,12.258,18.027,13.002,0.003,12.168,18.028
223682,12.242,18.027,13.002,0.003,12.168,18.028
224189,12.258,18.027,13.002,0.003,12.168,18.028
224727,12.258,18.027,13.002,0.003,12.168,18.028
225240,12.258,18.027,13.002,0.003,12.168,18.028
225731,12.242,18.027,13.002,0.003,12.168,18.028
226248,12.242,18.027,13.002,0.003,12.168,18.028
226716,12.242,18.027,13.002,0.003,12.168,18.028
227207,12.242,18.027,13.002,0.003,12.168,18.028
227665,12.242,18.027,13.002,0.003,12.168,18.028
228175,12.242,18.027,13.002,0.003,12.168,18.028
228691,12.242,18.027,13.002,0.003,12.168,18.028
229210,12.242,18.027,13.002,0.003,12.168,18.028
229733,12.242,18.027,13.002,0.003,12.168,18.028
230230,12.242,18.027,13.002,0.003,12.168,18.028
230762,12.242,18.027,13.002,0.003,12.168,18.028
231267,12.242,18.027,13.002,0.003,12.168,18.028
231799,12.242,18.027,13.002,0.003,12.168,18.028
232317,12.242,18.027,13.002,0.003,12.168,18.028
232803,12.242,18.027,13.002,0.003,12.168,18.028
233323,12.242,18.027,13.002,0.003,12.168,18.028
233803,12.242,18.027,13.002,0.003,12.168,18.028
234325,12.242,18.027,13.002,0.003,12.168,18.028
234836,12.242,18.027,13.002,0.003,12.168,18.028
235348,12.242,18.027,13.002,0.003,12.168,18.028
235824,12.242,18.027,13.002,0.003,12.168,18.028
236336,12.242,18.027,13.002,0.003,12.168,18.028
236830,12.242,18.027,13.002,0.003,12.168,18.028
237350,12.242,18.027,13.002,0.003,12.168,18.028
237840,12.242,18.027,13.002,0.003,12.168,18.028
238347,12.242,18.027,13.002,0.003,12.168,18.028
238834,12.242,18.027,13.002,0.003,12.168,18.028
239348,12.242,18.027,13.002,0.003,12.168,18.028
239841,12.242,18.027,13.019,0.003,12.168,18.028
240365,12.242,18.027,13.019,0.003,12.168,18.028
240852,12.242,18.027,13.019,0.003,12.168,18.028
241377,12.242,18.027,13.019,0.003,12.168,18.028
241861,12.242,18.027,13.019,0.003,12.168,18.028
242372,12.242,18.027,13.019,0.003,12.168,18.028
242858,12.242,18.027,13.019,0.003,12.168,18.028
243383,12.242,18.027,13.019,0.003,12.152,18.028
243867,12.242,18.027,13.019,0.003,12.152,18.028
244391,12.242,18.027,13.019,0.003,12.152,18.028
244907,12.242,18.027,13.019,0.003,12.152,18.028
245407,12.242,18.027,13.019,0.003,12.152,18.028
245916,12.242,18.027,13.019,0.003,12.152,18.028
246411,12.242,18.027,13.019,0.003,12.152,18.028
246924,12.242,18.027,13.019,0.003,12.152,18.028
247419,12.242,18.027,13.019,0.003,12.152,18.028
247919,12.242,18.027,13.019,0.003,12.152,18.028
248405,12.242,18.027,13.019,0.003,12.152,18.028
248920,12.242,18.027,13.019,0.003,12.152,18.028
249395,12.242,18.027,13.019,0.003,12.152,18.028
249921,12.242,18.027,13.019,0.003,12.152,18.028
250410,12.242,18.027,13.019,0.003,12.152,18.028
250912,12.242,18.027,13.019,0.003,12.152,18.028
251397,12.242,18.027,13.019,0.003,12.152,18.028
251913,12.242,18.027,13.019,0.003,12.152,18.028
252416,12.242,18.027,13.019,0.003,12.152,18.028
252943,12.242,18.027,13.019,0.003,12.152,18.028
253456,12.242,18.027,13.019,0.003,12.152,18.028
253948,12.242,18.027,13.019,0.003,12.152,18.028
254464,12.242,18.027,13.019,0.003,12.152,18.028
