18A Test,Led Zeppelin,Led Zeppelin,Johnny Cash,Johnny Cash,Fresh Prince,Fresh Prince
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
221238,12.491,18.027,12.356,18.027,12.268,18.011
221738,12.491,18.027,12.356,18.027,12.268,18.011
222264,12.491,18.027,12.356,18.027,12.268,18.011
222754,12.491,18.027,12.356,18.027,12.268,18.011
223265,12.491,18.027,12.356,18.027,12.268,18.011
223766,12.491,18.027,12.356,18.027,12.268,18.011
224283,12.491,18.027,12.356,18.027,12.268,18.011
224779,12.491,18.027,12.356,18.027,12.268,18.011
225290,12.491,18.027,12.356,18.027,12.268,18.011
225797,12.491,18.027,12.356,18.027,12.268,18.011
226324,12.491,18.027,12.356,18.027,12.268,18.011
226821,12.491,18.027,12.356,18.027,12.268,18.011
227340,12.491,18.027,12.356,18.027,12.268,18.011
227845,12.491,18.027,12.356,18.027,12.268,18.011
228398,12.491,18.027,12.34,18.027,12.268,18.011
228925,12.491,18.027,12.34,18.027,12.268,18.011
229419,12.491,18.027,12.34,18.027,12.268,18.011
229944,12.491,18.027,12.34,18.027,12.268,18.011
230449,12.491,18.027,12.34,18.027,12.268,18.011
230966,12.491,18.027,12.34,18.027,12.268,18.011
231466,12.491,18.027,12.34,18.027,12.268,18.011
232004,12.491,18.027,12.34,18.027,12.268,18.011
232499,12.491,18.027,12.34,18.027,12.268,18.011
233031,12.491,18.027,12.34,18.027,12.268,18.011
233538,12.491,18.027,12.34,18.027,12.268,18.011
234059,12.491,18.027,12.34,18.027,12.268,18.011
234563,12.491,18.027,12.34,18.027,12.268,18.011
235083,12.491,18.027,12.34,18.027,12.268,18.011
235582,12.491,18.027,12.34,18.027,12.268,18.011
236112,12.491,18.027,12.34,18.027,12.268,18.011
236618,12.491,18.027,12.34,18.027,12.268,18.011
237143,12.491,18.027,12.34,18.027,12.268,18.011
237651,12.491,18.027,12.34,18.027,12.268,18.011
238179,12.491,18.027,12.34,18.027,12.268,18.011
238741,12.491,18.027,12.34,18.027,12.268,18.011
239246,12.491,18.027,12.34,18.027,12.268,18.011
239762,12.491,18.027,12.34,18.027,12.268,18.011
240274,12.491,18.027,12.34,18.027,12.268,18.011
240798,12.491,18.027,12.34,18.027,12.268,18.011
