18A Test,ACDC,ACDC,Fresh Prince,Fresh Prince,Snoop Dogg,Snoop Dogg
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
122569,12.225,18.027,12.886,0.003,12.898,-0.01
123073,12.225,18.027,12.886,0.003,12.898,-0.01
123557,12.225,18.027,12.886,0.003,12.898,-0.01
124065,12.225,18.027,12.886,0.003,12.915,-0.01
124547,12.225,18.027,12.886,0.003,12.915,-0.01
125050,12.225,18.027,12.886,0.003,12.915,-0.01
125526,12.225,18.027,12.886,0.003,12.915,-0.01
126058,12.225,18.027,12.886,0.003,12.915,-0.01
126589,12.225,18.027,12.886,0.003,12.915,-0.01
127070,12.225,18.027,12.886,0.003,12.915,0.006
127559,12.225,18.027,12.886,0.003,12.915,-0.01
128041,12.225,18.027,12.886,0.003,12.915,-0.01
128555,12.225,18.027,12.886,0.003,12.915,-0.01
129037,12.225,18.027,12.886,0.003,12.915,-0.01
129543,12.225,18.027,12.886,0.003,12.915,-0.01
130029,12.225,18.027,12.886,0.003,12.915,-0.01
130539,12.225,18.027,12.886,0.003,12.915,-0.01
131020,12.225,18.027,12.886,0.003,12.915,-0.01
131527,12.225,18.027,12.886,0.003,12.915,-0.01
132009,12.225,18.027,12.903,0.003,12.915,-0.01
132515,12.225,18.027,12.903,0.003,12.915,-0.01
132992,12.225,18.027,12.903,0.003,12.915,-0.01
133496,12.225,18.027,12.903,0.003,12.915,-0.01
133982,12.225,18.027,12.903,0.003,12.915,-0.01
134483,12.225,18.027,12.903,0.003,12.915,-0.01
134984,12.225,18.027,12.903,0.003,12.915,-0.01
135493,12.225,18.027,12.903,0.003,12.915,-0.01
136005,12.225,18.027,12.903,0.003,12.915,-0.01
136474,12.225,18.027,12.903,0.003,12.915,-0.01
137007,12.225,18.027,12.903,0.003,12.915,-0.01
137489,12.225,18.027,12.903,0.003,12.915,-0.01
138009,12.225,18.027,12.903,0.003,12.915,-0.01
138493,12.225,18.027,12.903,0.003,12.915,-0.01
138998,12.225,18.027,12.903,0.003,12.915,-0.01
139470,12.225,18.027,12.903,0.003,12.915,-0.01
139974,12.225,18.027,12.903,0.003,12.915,-0.01
140456,12.225,18.027,12.903,0.003,12.915,-0.01
140963,12.225,18.027,12.903,0.003,12.915,-0.01
141440,12.225,18.027,12.903,0.003,12.931,-0.01
141932,12.225,18.027,12.903,0.003,12.931,-0.01
142413,12.225,18.027,12.903,0.003,12.931,-0.01
142926,12.225,18.027,12.903,0.003,12.931,-0.01
143398,12.225,18.027,12.903,0.003,12.931,-0.01
143903,12.225,18.027,12.903,0.003,12.931,-0.01
144383,12.225,18.027,12.903,0.003,12.931,-0.01
144899,12.225,18.027,12.903,0.003,12.931,-0.01
145369,12.225,18.027,12.903,0.003,12.931,-0.01
145892,12.225,18.027,12.903,0.003,12.931,-0.01
146366,12.225,18.027,12.903,0.003,12.931,-0.01
146916,12.225,18.027,12.903,0.003,12.931,-0.01
147405,12.225,18.027,12.903,0.003,12.931,-0.01
147913,12.225,18.027,12.903,0.003,12.931,-0.01
148408,12.225,18.027,12.903,0.003,12.931,-0.01
148888,12.225,18.027,12.903,0.003,12.931,-0.01
