18A Test,Whitesnake,Whitesnake,Tupac,Tupac,Fetty Wap,Fetty Wap
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
126221,12.375,18.027,11.909,18.027,12.235,18.011
126711,12.375,18.027,11.909,18.027,12.235,18.011
127248,12.375,18.027,11.909,18.027,12.235,18.011
127755,12.375,18.027,11.909,18.027,12.235,18.011
128279,12.375,18.027,11.909,18.027,12.235,18.011
128771,12.375,18.027,11.909,18.027,12.235,18.011
129297,12.375,18.027,11.909,18.027,12.235,18.011
129800,12.375,18.027,11.909,18.027,12.235,18.011
130314,12.375,18.027,11.909,18.027,12.235,18.011
130807,12.375,18.027,11.909,18.027,12.235,18.011
131349,12.375,18.027,11.909,18.027,12.235,18.011
131860,12.375,18.027,11.909,18.027,12.235,18.011
132386,12.375,18.027,11.909,18.027,12.235,18.011
132896,12.375,18.027,11.909,18.027,12.235,18.011
133433,12.375,18.027,11.909,18.027,12.235,18.011
133939,12.375,18.027,11.909,18.027,12.235,18.011
134464,12.375,18.027,11.909,18.027,12.235,18.011
134957,12.375,18.027,11.909,18.027,12.235,18.011
135492,12.375,18.027,11.909,18.027,12.235,18.011
135994,12.375,18.027,11.925,18.027,12.235,18.011
136511,12.375,18.027,11.925,18.027,12.235,18.011
137024,12.375,18.027,11.909,18.027,12.235,18.011
137521,12.375,18.027,11.909,18.027,12.235,18.011
138047,12.375,18.027,11.925,18.027,12.235,18.011
138539,12.375,18.027,11.925,18.027,12.235,18.011
139059,12.375,18.027,11.925,18.027,12.235,18.011
139577,12.375,18.027,11.925,18.027,12.235,18.011
140099,12.375,18.027,11.925,18.027,12.235,18.011
140590,12.375,18.027,11.925,18.027,12.218,18.011
141138,12.375,18.027,11.925,18.027,12.218,18.011
141629,12.375,18.027,11.925,18.027,12.218,18.011
142154,12.375,18.027,11.925,18.027,12.218,18.011
142673,12.375,18.027,11.925,18.027,12.218,18.011
143175,12.375,18.027,11.925,18.027,12.218,18.011
143706,12.375,18.027,11.925,18.027,12.218,18.011
144197,12.375,18.027,11.925,18.027,12.218,18.011
144729,12.375,18.027,11.925,18.027,12.218,18.011
145215,12.375,18.027,11.925,18.027,12.218,18.011
145736,12.375,18.027,11.925,18.027,12.218,18.011
146235,12.375,18.027,11.925,18.027,12.218,18.011
146755,12.375,18.027,11.925,18.027,12.218,18.011
147261,12.375,18.027,11.925,18.027,12.218,18.011
147806,12.375,18.027,11.925,18.027,12.218,18.011
148334,12.375,18.027,11.925,18.027,12.218,18.011
148820,12.375,18.027,11.925,18.027,12.218,18.011
149348,12.375,18.027,11.925,18.027,12.218,18.011
149840,12.375,18.027,11.925,18.027,12.218,18.011
150366,12.375,18.027,11.925,18.027,12.218,18.011
150863,12.375,18.027,11.925,18.027,12.218,18.011
151410,12.375,18.027,11.925,18.027,12.218,18.011
151916,12.375,18.027,11.925,18.027,12.218,18.011
152446,12.375,18.027,11.925,18.027,12.218,18.011
152947,12.375,18.027,11.925,18.027,12.218,18.011
153465,12.375,18.027,11.925,18.027,12.218,18.011
153953,12.375,18.027,11.925,18.027,12.218,18.011
154475,12.375,18.027,11.925,18.027,12.218,18.011
154980,12.375,18.027,11.925,18.027,12.218,18.011
155510,12.375,18.027,11.925,18.027,12.218,18.011
156007,12.375,18.027,11.925,18.027,12.218,18.011
156525,12.375,18.027,11.925,18.027,12.218,18.011
