18A Test,ZZ Top,ZZ Top,Johnny Cash,Johnny Cash,Run DMC,Run DMC
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
171672,12.308,18.027,12.141,18.027,12.135,18.028
172198,12.308,18.027,12.141,18.027,12.135,18.028
172681,12.308,18.027,12.141,18.027,12.135,18.028
173194,12.308,18.027,12.124,18.027,12.135,18.028
173694,12.308,18.027,12.124,18.027,12.135,18.028
174204,12.308,18.027,12.124,18.027,12.135,18.028
174703,12.308,18.027,12.124,18.027,12.135,18.028
175278,12.308,18.027,12.124,18.027,12.135,18.028
175805,12.308,18.027,12.124,18.027,12.135,18.028
176299,12.308,18.027,12.124,18.027,12.135,18.028
176832,12.308,18.027,12.124,18.027,12.135,18.028
177332,12.308,18.027,12.124,18.027,12.135,18.028
177862,12.308,18.027,12.124,18.027,12.135,18.028
178362,12.308,18.027,12.124,18.027,12.135,18.028
178877,12.308,18.027,12.124,18.027,12.135,18.028
179369,12.308,18.027,12.124,18.027,12.135,18.028
179895,12.308,18.027,12.124,18.027,12.135,18.028
180390,12.308,18.027,12.124,18.027,12.135,18.028
180915,12.308,18.027,12.124,18.027,12.135,18.028
181410,12.308,18.027,12.124,18.027,12.135,18.028
181937,12.308,18.027,12.124,18.027,12.135,18.028
182440,12.308,18.027,12.124,18.027,12.135,18.028
182968,12.308,18.027,12.124,18.027,12.135,18.028
183473,12.308,18.027,12.124,18.027,12.135,18.028
183990,12.308,18.027,12.124,18.027,12.135,18.028
184495,12.308,18.027,12.124,18.027,12.135,18.028
185044,12.308,18.027,12.124,18.027,12.135,18.028
185524,12.308,18.027,12.124,18.027,12.135,18.028
186041,12.308,18.027,12.124,18.027,12.135,18.028
186573,12.308,18.027,12.124,18.027,12.135,18.028
187090,12.308,18.027,12.124,18.027,12.135,18.028
187628,12.308,18.027,12.124,18.027,12.135,18.028
188126,12.308,18.027,12.124,18.027,12.135,18.028
188648,12.308,18.027,12.124,18.027,12.135,18.028
189135,12.308,18.027,12.124,18.027,12.135,18.028
189649,12.308,18.027,12.124,18.027,12.135,18.028
190161,12.308,18.027,12.124,18.027,12.135,18.028
190696,12.308,18.027,12.124,18.027,12.135,18.028
191240,12.308,18.027,12.124,18.027,12.135,18.028
191727,12.308,18.027,12.124,18.027,12.135,18.028
192251,12.308,18.027,12.124,18.027,12.135,18.028
192755,12.308,18.027,12.124,18.027,12.135,18.028
193272,12.308,18.027,12.124,18.027,12.135,18.028
193762,12.308,18.027,12.124,18.027,12.135,18.028
194282,12.308,18.027,12.124,18.027,12.135,18.028
194785,12.308,18.027,12.124,18.027,12.135,18.028
195334,12.308,18.027,12.124,18.027,12.135,18.028
195851,12.308,18.027,12.124,18.027,12.135,18.028
196351,12.308,18.027,12.124,18.027,12.135,18.028
196890,12.308,18.027,12.124,18.027,12.135,18.028
197390,12.308,18.027,12.124,18.027,12.135,18.028
197909,12.308,18.027,12.124,18.027,12.135,18.028
198425,12.308,18.027,12.124,18.027,12.135,18.028
198976,12.308,18.027,12.124,18.027,12.135,18.028
199491,12.308,18.027,12.124,18.027,12.135,18.028
199977,12.308,18.027,12.124,18.027,12.135,18.028
200503,12.308,18.027,12.124,18.027,12.135,18.028
200996,12.308,18.027,12.124,18.027,12.135,18.028
201518,12.308,18.027,12.124,18.027,12.135,18.028
202023,12.308,18.027,12.124,18.027,12.135,18.028
202552,12.308,18.027,12.124,18.027,12.135,18.028
203058,12.308,18.027,12.124,18.027,12.135,18.028
203595,12.308,18.027,12.124,18.027,12.135,18.028
204089,12.308,18.027,12.124,18.027,12.135,18.028
204624,12.308,18.027,12.124,18.027,12.135,18.028
205143,12.308,18.027,12.124,18.027,12.135,18.028
205666,12.308,18.027,12.124,18.027,12.135,18.028
206157,12.308,18.027,12.124,18.027,12.135,18.028
206674,12.308,18.027,12.124,18.027,12.135,18.028
207179,12.308,18.027,12.124,18.027,12.135,18.028
207708,12.308,18.027,12.124,18.027,12.135,18.028
208210,12.308,18.027,12.124,18.027,12.135,18.028
208732,12.308,18.027,12.124,18.027,12.135,18.028
209230,12.308,18.027,12.124,18.027,12.135,18.028
209755,12.308,18.027,12.124,18.027,12.135,18.028
210251,12.308,18.027,12.124,18.027,12.135,18.028
210779,12.308,18.027,12.124,18.027,12.135,18.028
211274,12.308,18.027,12.124,18.027,12.135,18.028
211805,12.308,18.027,12.124,18.027,12.135,18.028
212293,12.308,18.027,12.124,18.027,12.135,18.028
212834,12.308,18.027,12.124,18.027,12.135,18.028
213320,12.308,18.027,12.124,18.027,12.135,18.028
213836,12.308,18.027,12.124,18.027,12.135,18.028
214338,12.308,18.027,12.124,18.027,12.135,18.028
214866,12.308,18.027,12.124,18.027,12.135,18.028
215429,12.308,18.027,12.108,18.027,12.135,18.028
215919,12.308,18.027,12.108,18.027,12.135,18.028
216430,12.308,18.027,12.108,18.027,12.135,18.028
216928,12.308,18.027,12.108,18.027,12.135,18.028
217452,12.308,18.027,12.108,18.027,12.135,18.028
217970,12.308,18.027,12.108,18.027,12.135,18.028
218477,12.308,18.027,12.108,18.027,12.135,18.028
219002,12.308,18.027,12.108,18.027,12.135,18.028
219498,12.308,18.027,12.108,18.027,12.135,18.028
220023,12.308,18.027,12.108,18.027,12.135,18.028
220522,12.308,18.027,12.108,18.027,12.135,18.028
221026,12.308,18.027,12.108,18.027,12.135,18.028
221539,12.308,18.027,12.108,18.027,12.135,18.028
222065,12.308,18.027,12.108,18.027,12.135,18.028
222565,12.308,18.027,12.108,18.027,12.135,18.028
223104,12.308,18.027,12.108,18.027,12.135,18.028
223592,12.308,18.027,12.108,18.027,12.135,18.028
224116,12.308,18.027,12.108,18.027,12.135,18.028
224617,12.308,18.027,12.108,18.027,12.135,18.028
225177,12.308,18.027,12.108,18.027,12.135,18.028
225667,12.308,18.027,12.108,18.027,12.135,18.028
226182,12.308,18.027,12.108,18.027,12.135,18.028
226707,12.308,18.027,12.108,18.027,12.135,18.028
227207,12.308,18.027,12.108,18.027,12.135,18.028
227740,12.308,18.027,12.108,18.027,12.135,18.028
228234,12.308,18.027,12.108,18.027,12.135,18.028
228750,12.308,18.027,12.108,18.027,12.135,18.028
229247,12.308,18.027,12.108,18.027,12.135,18.028
229778,12.308,18.027,12.108,18.027,12.135,18.028
230276,12.308,18.027,12.108,18.027,12.135,18.028
230809,12.308,18.027,12.108,18.027,12.135,18.028
231315,12.308,18.027,12.108,18.027,12.119,18.028
231852,12.308,18.027,12.108,18.027,12.135,18.028
232351,12.308,18.027,12.108,18.027,12.135,18.028
232884,12.308,18.027,12.108,18.027,12.119,18.028
233384,12.308,18.027,12.108,18.027,12.119,18.028
233907,12.308,18.027,12.108,18.027,12.119,18.028
234406,12.308,18.027,12.108,18.027,12.119,18.028
234934,12.308,18.027,12.108,18.027,12.119,18.028
235462,12.308,18.027,12.108,18.027,12.119,18.028
235990,12.308,18.027,12.108,18.027,12.119,18.028
