18A Test,Ed Sheeran,Ed Sheeran,Tesseract,Tesseract,BLUE-04284-HA,BLUE-04284-HA
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
118406,12.475,18.027,12.29,18.027,12.749,-0.01
118875,12.475,18.027,12.29,18.027,12.749,-0.01
119391,12.475,18.027,12.29,18.027,12.749,-0.01
119883,12.475,18.027,12.29,18.027,12.749,-0.01
120410,12.475,18.027,12.29,18.027,12.749,-0.01
120891,12.475,18.027,12.29,18.027,12.749,-0.01
121408,12.475,18.027,12.29,18.027,12.749,-0.01
121928,12.475,18.027,12.29,18.027,12.749,-0.01
122420,12.475,18.027,12.29,18.027,12.749,-0.01
122947,12.475,18.027,12.29,18.027,12.749,-0.01
123445,12.475,18.027,12.29,18.027,12.749,-0.01
123967,12.475,18.027,12.29,18.027,12.749,-0.01
124459,12.475,18.027,12.29,18.027,12.749,-0.01
124979,12.475,18.027,12.29,18.027,12.749,-0.01
125478,12.475,18.027,12.29,18.027,12.749,-0.01
126000,12.475,18.027,12.29,18.027,12.749,-0.01
126500,12.475,18.027,12.29,18.027,12.749,-0.01
127018,12.475,18.027,12.29,18.027,12.749,-0.01
127513,12.475,18.027,12.29,18.027,12.749,-0.01
128031,12.475,18.027,12.29,18.027,12.749,-0.01
128555,12.475,18.027,12.29,18.027,12.749,-0.01
129068,12.475,18.027,12.29,18.027,12.765,-0.01
129602,12.475,18.027,12.29,18.027,12.765,-0.01
130088,12.475,18.027,12.29,18.027,12.765,-0.01
130607,12.475,18.027,12.29,18.027,12.765,-0.01
131088,12.475,18.027,12.29,18.027,12.765,-0.01
131602,12.475,18.027,12.29,18.027,12.765,-0.01
132100,12.475,18.027,12.29,18.027,12.765,-0.01
132614,12.475,18.027,12.29,18.027,12.765,-0.01
133098,12.475,18.027,12.29,18.027,12.765,-0.01
133624,12.475,18.027,12.29,18.027,12.765,-0.01
134106,12.475,18.027,12.29,18.027,12.765,-0.01
134618,12.475,18.027,12.29,18.027,12.765,-0.01
135129,12.475,18.027,12.29,18.027,12.765,-0.01
135611,12.475,18.027,12.29,18.027,12.765,-0.01
136129,12.475,18.027,12.29,18.027,12.765,-0.01
136621,12.475,18.027,12.29,18.027,12.765,-0.01
137143,12.475,18.027,12.29,18.027,12.765,-0.01
137648,12.475,18.027,12.29,18.027,12.765,-0.01
138163,12.475,18.027,12.29,18.027,12.765,-0.01
138680,12.475,18.027,12.29,18.027,12.765,-0.01
139201,12.475,18.027,12.29,18.027,12.765,-0.01
139682,12.475,18.027,12.29,18.027,12.765,-0.01
140192,12.475,18.027,12.29,18.027,12.765,-0.01
140685,12.475,18.027,12.29,18.027,12.765,-0.01
141200,12.475,18.027,12.29,18.027,12.765,-0.01
141693,12.475,18.027,12.29,18.027,12.765,-0.01
142211,12.475,18.027,12.29,18.027,12.765,-0.01
142693,12.475,18.027,12.29,18.027,12.765,-0.01
143214,12.475,18.027,12.29,18.027,12.765,-0.01
143704,12.475,18.027,12.29,18.027,12.765,-0.01
144228,12.475,18.027,12.29,18.027,12.765,-0.01
144714,12.475,18.027,12.29,18.027,12.765,-0.01
145238,12.475,18.027,12.29,18.027,12.765,-0.01
145740,12.475,18.027,12.29,18.027,12.765,-0.01
146259,12.475,18.027,12.29,18.027,12.765,-0.01
146743,12.475,18.027,12.29,18.027,12.765,-0.01
147260,12.475,18.027,12.29,18.027,12.765,-0.01
147753,12.475,18.027,12.29,18.027,12.765,-0.01
148270,12.475,18.027,12.29,18.027,12.765,-0.01
148785,12.475,18.027,12.29,18.027,12.765,-0.01
149297,12.475,18.027,12.29,18.027,12.765,-0.01
149816,12.475,18.027,12.29,18.027,12.765,-0.01
150318,12.475,18.027,12.29,18.027,12.765,-0.01
150822,12.475,18.027,12.29,18.027,12.765,-0.01
151311,12.475,18.027,12.29,18.027,12.765,-0.01
151823,12.475,18.027,12.29,18.027,12.765,-0.01
152311,12.475,18.027,12.29,18.027,12.765,-0.01
152830,12.475,18.027,12.29,18.027,12.765,-0.01
153322,12.475,18.027,12.29,18.027,12.765,-0.01
153848,12.475,18.027,12.29,18.027,12.765,-0.01
154332,12.475,18.027,12.29,18.027,12.765,-0.01
154844,12.475,18.027,12.29,18.027,12.765,-0.01
155331,12.475,18.027,12.29,18.027,12.765,-0.01
155852,12.475,18.027,12.29,18.027,12.765,-0.01
156338,12.475,18.027,12.29,18.027,12.765,-0.01
156846,12.475,18.027,12.273,18.027,12.765,-0.01
157335,12.475,18.027,12.29,18.027,12.765,-0.01
157850,12.475,18.027,12.29,18.027,12.765,-0.01
158348,12.475,18.027,12.273,18.027,12.765,-0.01
158891,12.475,18.027,12.273,18.027,12.765,-0.01
