18A Test,Moto Moto,Moto Moto,BLUE-07064-HA-3,BLUE-07064-HA-3,BLUE-07064-HA-4,BLUE-07064-HA-4
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
129852,12.325,18.027,12.77,0.003,6.794,-0.01
130329,12.325,18.027,12.77,0.003,6.794,-0.01
130831,12.325,18.027,12.77,0.003,6.794,0.006
131339,12.325,18.027,12.77,0.003,6.794,-0.01
131869,12.325,18.027,12.77,0.003,6.794,-0.01
132373,12.325,18.027,12.77,0.003,6.794,-0.01
132887,12.325,18.027,12.77,0.003,6.794,-0.01
133375,12.325,18.027,12.77,0.003,6.794,-0.01
133870,12.325,18.027,12.77,0.003,6.794,-0.01
134337,12.325,18.027,12.77,0.003,6.794,0.006
134849,12.325,18.027,12.77,0.003,6.794,0.006
135346,12.325,18.027,12.77,0.003,6.794,0.006
135841,12.325,18.027,12.77,0.003,6.794,-0.01
136336,12.325,18.027,12.77,0.003,6.777,-0.01
136875,12.325,18.027,12.77,0.003,6.777,-0.01
137365,12.325,18.027,12.77,0.003,6.777,-0.01
137892,12.325,18.027,12.77,0.003,6.777,-0.01
138388,12.325,18.027,12.77,0.003,6.777,-0.01
138859,12.325,18.027,12.77,0.003,6.777,-0.01
139392,12.325,18.027,12.77,0.003,6.777,-0.01
139864,12.325,18.027,12.77,0.003,6.777,-0.01
140388,12.325,18.027,12.77,0.003,6.777,-0.01
140863,12.325,18.027,12.77,0.003,6.777,-0.01
141433,12.325,18.027,12.77,0.003,6.777,-0.01
141929,12.325,18.027,12.77,0.003,6.777,-0.01
142400,12.325,18.027,12.77,0.003,6.777,-0.01
142884,12.325,18.027,12.77,0.003,6.777,-0.01
143388,12.325,18.027,12.77,0.003,6.777,0.006
143909,12.325,18.027,12.77,0.003,6.777,0.006
144377,12.325,18.027,12.77,0.003,6.777,0.006
144874,12.325,18.027,12.77,0.003,6.777,-0.01
145350,12.325,18.027,12.77,0.003,6.777,-0.01
145844,12.325,18.027,12.77,0.003,6.777,-0.01
146306,12.325,18.027,12.77,0.003,6.777,0.006
146858,12.325,18.027,12.77,0.003,6.777,0.006
147367,12.325,18.027,12.77,0.003,6.777,-0.01
147871,12.325,18.027,12.77,0.003,6.777,-0.01
148396,12.325,18.027,12.77,0.003,6.777,-0.01
148860,12.325,18.027,12.77,0.003,6.777,0.006
149361,12.325,18.027,12.77,0.003,6.777,-0.01
149872,12.325,18.027,12.77,0.003,6.777,-0.01
150399,12.325,18.027,12.77,0.003,6.777,-0.01
150895,12.325,18.027,12.77,0.003,6.777,-0.01
151360,12.325,18.027,12.77,0.003,6.777,-0.01
