18A Test,,,,,BLACK-KOP-YH201812,BLACK-KOP-YH201812
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
166787,-0.147,-0.001,-0.138,0.003,11.787,18.028
167262,-0.147,-0.001,-0.138,0.003,11.787,18.028
167745,-0.147,-0.001,-0.138,0.003,11.787,18.028
168202,-0.147,-0.001,-0.138,0.003,11.787,18.028
168683,-0.147,-0.001,-0.138,0.003,11.787,18.028
169145,-0.147,-0.001,-0.138,0.003,11.787,18.028
169629,-0.147,-0.001,-0.138,0.003,11.787,18.028
170086,-0.147,-0.001,-0.138,0.003,11.787,18.028
170565,-0.147,-0.001,-0.138,0.003,11.787,18.028
171037,-0.147,-0.001,-0.138,0.003,11.787,18.028
171550,-0.147,-0.001,-0.138,0.003,11.77,18.028
172008,-0.147,-0.001,-0.138,0.003,11.77,18.028
172480,-0.147,-0.001,-0.138,0.003,11.77,18.028
172932,-0.147,-0.001,-0.138,0.003,11.77,18.028
173413,-0.147,-0.001,-0.138,0.003,11.77,18.028
173873,-0.147,-0.001,-0.138,0.003,11.77,18.028
174351,-0.147,-0.001,-0.138,0.003,11.77,18.028
174805,-0.147,-0.001,-0.138,0.003,11.77,18.028
175296,-0.147,-0.001,-0.138,0.003,11.77,18.028
175760,-0.147,-0.001,-0.138,0.003,11.77,18.028
176249,-0.147,-0.001,-0.138,0.003,11.77,18.028
176706,-0.147,-0.001,-0.138,0.003,11.77,18.028
177197,-0.147,-0.001,-0.138,0.003,11.77,18.028
177653,-0.147,-0.001,-0.138,0.003,11.77,18.028
178143,-0.147,-0.001,-0.138,0.003,11.77,18.028
178605,-0.147,-0.001,-0.138,0.003,11.77,18.028
179085,-0.147,-0.001,-0.138,0.003,11.77,18.028
179527,-0.147,-0.001,-0.138,0.003,11.77,18.028
180011,-0.147,-0.001,-0.138,0.003,11.77,18.028
180472,-0.147,-0.001,-0.138,0.003,11.77,18.028
180953,-0.147,-0.001,-0.138,0.003,11.77,18.028
181404,-0.147,-0.001,-0.138,0.003,11.77,18.028
181915,-0.147,-0.001,-0.138,0.003,11.77,18.028
182371,-0.147,-0.001,-0.138,0.003,11.77,18.028
182841,-0.147,-0.001,-0.138,0.003,11.77,18.028
183304,-0.147,-0.001,-0.138,0.003,11.77,18.028
