18A Test,ACDC,ACDC,,,Kanye West,Kanye West
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
148346,12.508,18.027,-0.138,0.003,11.953,18.011
148854,12.508,18.027,-0.138,0.003,11.953,18.011
149325,12.508,18.027,-0.138,0.003,11.953,18.011
149836,12.508,18.027,-0.138,0.003,11.953,18.011
150320,12.508,18.027,-0.138,0.003,11.953,18.011
150849,12.508,18.027,-0.138,0.003,11.953,18.011
151323,12.508,18.027,-0.138,0.003,11.953,18.011
151828,12.508,18.027,-0.138,0.003,11.953,18.011
152310,12.508,18.027,-0.138,0.003,11.953,18.011
152812,12.508,18.027,-0.138,0.003,11.953,18.011
153297,12.508,18.027,-0.138,0.003,11.953,18.011
153800,12.508,18.027,-0.138,0.003,11.953,18.011
154270,12.508,18.027,-0.138,0.003,11.953,18.011
154791,12.508,18.027,-0.138,0.003,11.953,18.011
155274,12.508,18.027,-0.138,0.003,11.953,18.011
155778,12.508,18.027,-0.138,0.003,11.953,18.011
156253,12.508,18.027,-0.138,0.003,11.953,18.011
156785,12.508,18.027,-0.138,0.003,11.953,18.011
157284,12.508,18.027,-0.138,0.003,11.953,18.011
157768,12.508,18.027,-0.138,0.003,11.953,18.011
158273,12.508,18.027,-0.138,0.003,11.953,18.011
158761,12.508,18.027,-0.138,0.003,11.953,18.011
159268,12.508,18.027,-0.138,0.003,11.953,18.011
159743,12.508,18.027,-0.138,0.003,11.953,18.011
160257,12.508,18.027,-0.138,0.003,11.953,18.011
160733,12.508,18.027,-0.138,0.003,11.953,18.011
161236,12.508,18.027,-0.138,0.003,11.953,18.011
161719,12.508,18.027,-0.138,0.003,11.953,18.011
162224,12.508,18.027,-0.138,0.003,11.953,18.011
162715,12.508,18.027,-0.138,0.003,11.953,18.011
163224,12.508,18.027,-0.138,0.003,11.953,18.011
163706,12.508,18.027,-0.138,0.003,11.953,18.011
164213,12.508,18.027,-0.138,0.003,11.953,18.011
164697,12.508,18.027,-0.138,0.003,11.953,18.011
165204,12.508,18.027,-0.138,0.003,11.953,18.011
165694,12.508,18.027,-0.138,0.003,11.953,18.011
166203,12.508,18.027,-0.138,0.003,11.953,18.011
166724,12.508,18.027,-0.138,0.003,11.953,18.011
167240,12.508,18.027,-0.138,0.003,11.953,18.011
167716,12.508,18.027,-0.138,0.003,11.953,18.011
168217,12.508,18.027,-0.138,0.003,11.953,18.011
168700,12.508,18.027,-0.138,0.003,11.953,18.011
169209,12.508,18.027,-0.138,0.003,11.953,18.011
169680,12.508,18.027,-0.138,0.003,11.953,18.011
170178,12.508,18.027,-0.138,0.003,11.953,18.011
170669,12.508,18.027,-0.138,0.003,11.953,18.011
171177,12.508,18.027,-0.138,0.003,11.953,18.011
171661,12.508,18.027,-0.138,0.003,11.953,18.011
172170,12.508,18.027,-0.138,0.003,11.953,18.011
172650,12.508,18.027,-0.138,0.003,11.953,18.011
173159,12.508,18.027,-0.138,0.003,11.953,18.011
173639,12.508,18.027,-0.138,0.003,11.953,18.011
174145,12.508,18.027,-0.138,0.003,11.953,18.011
174642,12.508,18.027,-0.138,0.003,11.953,18.011
175151,12.508,18.027,-0.138,0.003,11.953,18.011
175655,12.508,18.027,-0.138,0.003,11.953,18.011
176131,12.508,18.027,-0.138,0.003,11.953,18.011
176675,12.508,18.027,-0.138,0.003,11.953,18.011
177150,12.508,18.027,-0.138,0.003,11.953,18.011
177663,12.508,18.027,-0.138,0.003,11.953,18.011
178146,12.508,18.027,-0.138,0.003,11.953,18.011
178663,12.508,18.027,-0.138,0.003,11.953,18.011
179145,12.508,18.027,-0.138,0.003,11.953,18.011
179647,12.508,18.027,-0.138,0.003,11.953,18.011
180117,12.508,18.027,-0.138,0.003,11.953,18.011
180625,12.508,18.027,-0.138,0.003,11.953,18.011
181105,12.508,18.027,-0.138,0.003,11.953,18.011
181619,12.508,18.027,-0.138,0.003,11.953,18.011
